,session,command_freq,input,attack_cat,label_nr,label_desc,duration,SeededKmeans_result,Kmeans_results,PCKmeans_exp_result
0,503d51c0c74e,13,enable,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
1,503d51c0c74e,13,system,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
2,503d51c0c74e,13,system,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
3,503d51c0c74e,13,shell,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
4,503d51c0c74e,13,shell,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
5,503d51c0c74e,13,sh,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
6,503d51c0c74e,13,cat /proc/mounts; /bin/busybox YZRWP,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
7,503d51c0c74e,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox YZRWP,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
8,503d51c0c74e,13,tftp; wget; /bin/busybox YZRWP,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
9,503d51c0c74e,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
10,503d51c0c74e,13,while read i,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
11,503d51c0c74e,13,/bin/busybox YZRWP,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
12,503d51c0c74e,13,rm .s; exit,Fingerprinting,0,busybox fingerprinting,1.9654061794281,0,3,2
13,11c3a317c219,13,enable,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
14,11c3a317c219,13,system,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
15,11c3a317c219,13,system,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
16,11c3a317c219,13,shell,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
17,11c3a317c219,13,shell,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
18,11c3a317c219,13,sh,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
19,11c3a317c219,13,cat /proc/mounts; /bin/busybox HUACS,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
20,11c3a317c219,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox HUACS,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
21,11c3a317c219,13,tftp; wget; /bin/busybox HUACS,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
22,11c3a317c219,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
23,11c3a317c219,13,while read i,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
24,11c3a317c219,13,/bin/busybox HUACS,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
25,11c3a317c219,13,rm .s; exit,Fingerprinting,0,busybox fingerprinting,3.1715989112854,0,3,2
26,aa965a08eac9,14,enable,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
27,aa965a08eac9,14,system,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
28,aa965a08eac9,14,system,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
29,aa965a08eac9,14,shell,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
30,aa965a08eac9,14,shell,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
31,aa965a08eac9,14,sh,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
32,aa965a08eac9,14,cat /proc/mounts; /bin/busybox BDAVR,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
33,aa965a08eac9,14,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox BDAVR,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
34,aa965a08eac9,14,tftp; wget; /bin/busybox BDAVR,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
35,aa965a08eac9,14,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
36,aa965a08eac9,14,while read i,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
37,aa965a08eac9,14,/bin/busybox BDAVR,Fingerprinting,0,busybox fingerprinting,32.702641248703,0,3,2
